Droptol	Fillfactor
0.0001	9.0
1.0	3.0
1e-08	6.0
1e-10	4.0
0.01	4.0
1e-12	8.0
100.0	3.0
0.01	9.0
100.0	1.0
10000.0	8.0
1e-06	0.0
1e-12	0.0
1e-06	4.0
0.01	0.0
1.0	6.0
1e-08	9.0
1e-08	0.0
1e-12	5.0
10000.0	5.0
10000.0	0.0
1.0	9.0
0.0001	6.0
1e-10	9.0
0.0001	2.0
1e-12	2.0
1e-08	2.0
1e-06	7.0
100.0	5.0
10000.0	2.0
1e-10	6.0
0.01	7.0
1.0	0.0
1e-10	2.0
1e-08	4.0
1.0	5.0
0.01	2.0
1e-06	9.0
100.0	7.0
0.0001	0.0
0.0001	4.0
1e-08	8.0
1.0	8.0
10000.0	7.0
1e-06	2.0
100.0	9.0
1e-10	5.0
1e-12	6.0
1e-10	0.0
10000.0	9.0
1e-06	5.0
0.01	5.0
0.0001	7.0
1e-12	9.0
10000.0	4.0
1e-10	3.0
1e-10	8.0
1.0	4.0
1e-06	8.0
1.0	1.0
1e-08	5.0
0.01	3.0
100.0	0.0
1e-06	3.0
1e-12	1.0
0.01	1.0
100.0	6.0
0.0001	3.0
1e-08	3.0
100.0	2.0
0.0001	1.0
1e-06	1.0
1e-12	4.0
10000.0	1.0
1e-08	1.0
1e-10	7.0
1.0	7.0
0.0001	5.0
0.01	8.0
100.0	8.0
1e-12	7.0
100.0	4.0
1e-08	7.0
1e-10	1.0
0.01	6.0
1.0	2.0
0.0001	8.0
1e-06	6.0
10000.0	6.0
10000.0	3.0
1e-12	3.0
