Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-0.594572	10000	9
-4.35801e-05	1e-12	4
-1.28691e-05	0.0001	4
-0.594572	10000	4
-0.594572	1e-12	0
-0.594572	0.0001	0
-0.594572	10000	0
-1.28691e-05	0.0001	4.0
-1.1012e-15	1e-08	7.0
-4.61829e-13	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-4.35801e-05	1e-10	4.0
-4.96343e-08	0.01	8.0
-0.0	1e-10	9.0
-3.49239e-08	1e-10	5.0
-3.32196e-08	1e-06	5.0
-4.96343e-08	0.01	9.0
-0.0	0.0001	6.0
-1.09364e-10	0.0001	5.0
-0.0	1e-06	8.0
-4.96343e-08	0.01	8.0
-1.40263e-07	0.01	5.0
-3.49239e-08	1e-12	5.0
-0.0	1e-10	8.0
-3.49228e-08	1e-08	5.0
-4.35801e-05	1e-10	4.0
-3.5362e-13	1e-06	6.0
-0.0	1e-08	8.0
-4.96471e-08	0.01	6.0
-0.000229466	1e-08	3.0
-0.594572	1	7.0
-6.30152e-05	0.01	3.0
-0.000229393	1e-06	3.0
-0.594572	1e-08	0.0
-8.62514e-07	0.01	4.0
-0.594572	1	1.0
-0.594572	1	4.0
-6.30152e-05	0.01	3.0
-0.000229466	1e-10	3.0
-0.0	0.0001	8.0
-1.10218e-15	1e-10	7.0
-0.000229466	1e-12	3.0
-0.594572	1	9.0
-0.0	1e-06	9.0
-0.0	1e-12	8.0
-0.0	1e-08	8.0
-0.00229319	0.01	2.0
-0.000214258	0.0001	3.0
-4.35797e-05	1e-08	4.0
-0.000229466	1e-08	3.0
-6.30152e-05	0.01	3.0
-0.00300134	1e-06	2.0
-4.61829e-13	1e-10	6.0
-3.32196e-08	1e-06	5.0
-4.96343e-08	0.01	9.0
-0.594572	10000	6.0
-1.09364e-10	0.0001	5.0
-0.0	1e-06	9.0
-6.30152e-05	0.01	3.0
-0.0	1e-12	9.0
-4.61695e-13	1e-08	6.0
-4.32348e-05	1e-06	4.0
-4.96471e-08	0.01	6.0
-0.000229466	1e-10	3.0
-0.594572	100	2.0
-0.0	1e-08	9.0
-0.00300134	1e-06	2.0
-4.96343e-08	0.01	7.0
-1.06733	1e-10	1.0
-0.000229466	1e-10	3.0
-7.60439e-16	1e-06	7.0
-0.000229466	1e-12	3.0
-0.00300497	1e-08	2.0
-0.0	0.0001	7.0
-3.49239e-08	1e-10	5.0
-0.00300134	1e-06	2.0
-0.594572	1e-06	0.0
-0.994471	0.01	1.0
-0.000214258	0.0001	3.0
-1.40263e-07	0.01	5.0
-0.594572	100	0.0
-4.32348e-05	1e-06	4.0
-3.49239e-08	1e-12	5.0
-1.10218e-15	1e-10	7.0
-0.594572	100	9.0
-0.00300497	1e-08	2.0
-0.594572	1	3.0
-0.0	1e-12	8.0
-0.0	0.0001	8.0
-4.61695e-13	1e-08	6.0
-0.000214258	0.0001	3.0
-0.0	0.0001	8.0
-6.30152e-05	0.01	3.0
-4.35801e-05	1e-10	4.0
-1.10218e-15	1e-12	7.0
-4.96343e-08	0.01	8.0
-7.60439e-16	1e-06	7.0
-0.0	0.0001	6.0
-0.000229466	1e-12	3.0
-1.1012e-15	1e-08	7.0
-0.0	1e-10	8.0
-0.594572	10000	2.0
-4.61829e-13	1e-12	6.0
-0.0	1e-08	8.0
-3.49228e-08	1e-08	5.0
-0.594572	100	5.0
-3.5362e-13	1e-06	6.0
-0.0	1e-08	8.0
-0.00300497	1e-12	2.0
-0.0	0.0001	7.0
-0.00300441	0.0001	2.0
-4.61695e-13	1e-08	6.0
-1.10218e-15	1e-10	7.0
-1.40263e-07	0.01	5.0
-0.00300441	0.0001	2.0
-3.32196e-08	1e-06	5.0
-4.35797e-05	1e-08	4.0
-0.0	1e-06	8.0
-4.35797e-05	1e-08	4.0
-4.96471e-08	0.01	6.0
-3.5362e-13	1e-06	6.0
-4.61829e-13	1e-10	6.0
-4.32348e-05	1e-06	4.0
-3.32196e-08	1e-06	5.0
-1.06733	1e-06	1.0
-0.00300441	0.0001	2.0
-0.00300134	1e-06	2.0
-0.00300134	1e-06	2.0
-0.00300441	0.0001	2.0
-0.000229393	1e-06	3.0
-4.96343e-08	0.01	8.0
-4.96471e-08	0.01	6.0
-0.00300497	1e-10	2.0
-0.0	0.0001	7.0
-1.28691e-05	0.0001	4.0
-1.1012e-15	1e-08	7.0
-0.594572	100	7.0
-0.0	0.0001	9.0
-0.0	1e-12	8.0
-8.62514e-07	0.01	4.0
-0.594572	1	7.0
-1.09364e-10	0.0001	5.0
-4.61695e-13	1e-08	6.0
-0.594572	10000	7.0
-4.35801e-05	1e-10	4.0
-0.0	0.0001	9.0
-0.0	1e-10	8.0
-4.35801e-05	1e-12	4.0
-4.96471e-08	0.01	6.0
-1.06733	1e-08	1.0
-0.00300497	1e-08	2.0
-0.00300497	1e-08	2.0
-0.594572	0.01	0.0
-0.594572	1	6.0
-0.594572	10000	5.0
-4.96343e-08	0.01	9.0
-0.0	1e-10	9.0
-3.49239e-08	1e-10	5.0
-4.35797e-05	1e-08	4.0
-1.06734	0.0001	1.0
-0.594572	10000	2.0
-0.00300441	0.0001	2.0
-0.594572	1e-10	0.0
-0.00300497	1e-10	2.0
-0.00300497	1e-10	2.0
-4.32348e-05	1e-06	4.0
-4.96343e-08	0.01	8.0
-1.1012e-15	1e-08	7.0
-0.00300441	0.0001	2.0
-3.49239e-08	1e-10	5.0
-0.00300497	1e-12	2.0
-4.61829e-13	1e-10	6.0
-4.61829e-13	1e-10	6.0
-0.0	1e-06	8.0
-3.32196e-08	1e-06	5.0
-0.0	0.0001	6.0
-1.06733	1e-12	1.0
-0.594572	1	3.0
-0.0	1e-06	9.0
-0.594572	100	1.0
-0.00300497	1e-12	2.0
-0.0	0.0001	7.0
-1.10218e-15	1e-12	7.0
-7.60439e-16	1e-06	7.0
-0.0	1e-08	9.0
-4.61829e-13	1e-12	6.0
-0.594572	100	1.0
-0.594572	100	4.0
-0.000229466	1e-10	3.0
-1.09364e-10	0.0001	5.0
-4.96343e-08	0.01	7.0
-8.62514e-07	0.01	4.0
-0.000214258	0.0001	3.0
-4.35797e-05	1e-08	4.0
-0.994471	0.01	1.0
-0.000229393	1e-06	3.0
-0.0	1e-06	8.0
-1.10218e-15	1e-10	7.0
-0.0	0.0001	8.0
-4.61829e-13	1e-12	6.0
-0.594572	100	6.0
-0.000229393	1e-06	3.0
-0.00300497	1e-10	2.0
-0.0	1e-06	9.0
-0.000229466	1e-10	3.0
-0.00300497	1e-08	2.0
